onset	duration	trial_type	event_type	participant_value	gold_std	block_score	n_button_press	stim_file
13.156	119.0	EA_block	block_summary	n/a	n/a	0.797045533818	6.0	HR_1_sad
13.156	0.0	n/a	default_rating	5	n/a	n/a	n/a	HR_1_sad
13.156	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
15.156	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
17.156	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
19.156	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
21.156	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
23.156	2.0	n/a	running_avg	4.341	5.0	n/a	n/a	HR_1_sad
23.838	0.0	n/a	button_press	4	n/a	n/a	n/a	HR_1_sad
25.156	2.0	n/a	running_avg	4.0	3.5855	n/a	n/a	HR_1_sad
27.156	2.0	n/a	running_avg	3.38045	3.0	n/a	n/a	HR_1_sad
27.9169	0.0	n/a	button_press	3	n/a	n/a	n/a	HR_1_sad
29.156	2.0	n/a	running_avg	3.0	3.0	n/a	n/a	HR_1_sad
31.156	2.0	n/a	running_avg	3.0	3.0	n/a	n/a	HR_1_sad
33.156	2.0	n/a	running_avg	3.0	3.0	n/a	n/a	HR_1_sad
35.156	2.0	n/a	running_avg	3.0	3.0	n/a	n/a	HR_1_sad
37.156	2.0	n/a	running_avg	3.0	2.6085	n/a	n/a	HR_1_sad
39.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
41.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
43.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
45.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
47.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
49.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
51.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
53.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
55.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
57.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
59.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
61.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
63.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
65.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
67.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
69.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
71.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
73.156	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
75.156	2.0	n/a	running_avg	2.3689999999999998	2.0	n/a	n/a	HR_1_sad
75.894	0.0	n/a	button_press	2	n/a	n/a	n/a	HR_1_sad
77.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
79.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
81.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
83.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
85.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
87.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
89.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
91.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
93.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
95.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
97.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
99.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
101.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
103.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
105.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
107.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
109.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
111.156	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
113.156	2.0	n/a	running_avg	1.3508499999999999	2.0	n/a	n/a	HR_1_sad
113.8577	0.0	n/a	button_press	1	n/a	n/a	n/a	HR_1_sad
115.156	2.0	n/a	running_avg	1.5375	1.1125	n/a	n/a	HR_1_sad
116.081	0.0	n/a	button_press	2	n/a	n/a	n/a	HR_1_sad
117.156	2.0	n/a	running_avg	2.0	1.0	n/a	n/a	HR_1_sad
119.156	2.0	n/a	running_avg	2.0	1.0	n/a	n/a	HR_1_sad
121.156	2.0	n/a	running_avg	1.7724499999999999	1.0	n/a	n/a	HR_1_sad
122.7009	0.0	n/a	button_press	1	n/a	n/a	n/a	HR_1_sad
123.156	2.0	n/a	running_avg	1.0	1.0	n/a	n/a	HR_1_sad
125.156	2.0	n/a	running_avg	1.0	1.0	n/a	n/a	HR_1_sad
127.156	2.0	n/a	running_avg	1.0	1.206	n/a	n/a	HR_1_sad
129.156	2.0	n/a	running_avg	1.0	3.0	n/a	n/a	HR_1_sad
131.156	1.0	n/a	running_avg	1.0	3.0	n/a	n/a	HR_1_sad
137.3615	40.0	circle_block	block_summary	n/a	n/a	0.948114736162	14.0	circles7
137.3615	0.0	n/a	default_rating	5	n/a	n/a	n/a	circles7
137.3615	4.0	n/a	running_avg	5.63105	5.0	n/a	n/a	circles7
138.8158	0.0	n/a	button_press	6	n/a	n/a	n/a	circles7
141.34	0.0	n/a	button_press	5	n/a	n/a	n/a	circles7
141.3615	4.0	n/a	running_avg	5.0	3.0	n/a	n/a	circles7
145.3615	4.0	n/a	running_avg	6.499025	6.0	n/a	n/a	circles7
146.1712	0.0	n/a	button_press	6	n/a	n/a	n/a	circles7
146.5557	0.0	n/a	button_press	7	n/a	n/a	n/a	circles7
149.3615	4.0	n/a	running_avg	7.8113	8.0	n/a	n/a	circles7
150.1163	0.0	n/a	button_press	8	n/a	n/a	n/a	circles7
153.3615	4.0	n/a	running_avg	8.703800000000001	9.0	n/a	n/a	circles7
154.5463	0.0	n/a	button_press	9	n/a	n/a	n/a	circles7
157.3615	4.0	n/a	running_avg	7.8408	7.0	n/a	n/a	circles7
158.6586	0.0	n/a	button_press	8	n/a	n/a	n/a	circles7
159.4276	0.0	n/a	button_press	7	n/a	n/a	n/a	circles7
161.3615	4.0	n/a	running_avg	5.7841000000000005	4.0	n/a	n/a	circles7
162.5703	0.0	n/a	button_press	6	n/a	n/a	n/a	circles7
163.2891	0.0	n/a	button_press	5	n/a	n/a	n/a	circles7
165.3615	4.0	n/a	running_avg	5.829574999999999	6.0	n/a	n/a	circles7
166.0641	0.0	n/a	button_press	6	n/a	n/a	n/a	circles7
169.3406	0.0	n/a	button_press	7	n/a	n/a	n/a	circles7
169.3615	4.0	n/a	running_avg	7.0	7.0	n/a	n/a	circles7
173.3615	4.0	n/a	running_avg	8.294	9.0	n/a	n/a	circles7
174.0714	0.0	n/a	button_press	8	n/a	n/a	n/a	circles7
175.4756	0.0	n/a	button_press	9	n/a	n/a	n/a	circles7
182.4967	2.0	n/a	running_avg	1.0334	5.0	n/a	n/a	circles7
182.4967	0.0	n/a	default_rating	5	n/a	n/a	n/a	circles7
182.4967	179.0	EA_block	block_summary	n/a	n/a	-0.900160108864	3.0	TA_6_anger
182.5134	0.0	n/a	button_press	1	n/a	n/a	n/a	TA_6_anger
184.4967	2.0	n/a	running_avg	1.0	5.0	n/a	n/a	TA_6_anger
186.4967	2.0	n/a	running_avg	1.0	5.0	n/a	n/a	TA_6_anger
