onset	duration	trial_type	event_type	participant_value	gold_std	block_score	n_button_press	stim_file
13.2467	144.0	EA_block	block_summary	n/a	n/a	0.904080556633	15.0	CT_3_anger
13.2467	0.0	n/a	default_rating	5	n/a	n/a	n/a	CT_3_anger
13.2467	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	CT_3_anger
15.2467	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	CT_3_anger
17.2467	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	CT_3_anger
19.2467	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	CT_3_anger
21.2467	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	CT_3_anger
23.2467	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	CT_3_anger
25.2467	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	CT_3_anger
27.2467	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	CT_3_anger
29.2467	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	CT_3_anger
31.2467	2.0	n/a	running_avg	5.56795	7.0	n/a	n/a	CT_3_anger
32.1108	0.0	n/a	button_press	6	n/a	n/a	n/a	CT_3_anger
33.2467	2.0	n/a	running_avg	6.0	7.0	n/a	n/a	CT_3_anger
35.2467	2.0	n/a	running_avg	6.0	7.0	n/a	n/a	CT_3_anger
37.2467	2.0	n/a	running_avg	6.0	7.0	n/a	n/a	CT_3_anger
39.2467	2.0	n/a	running_avg	6.0	7.0	n/a	n/a	CT_3_anger
41.2467	2.0	n/a	running_avg	6.0	7.0	n/a	n/a	CT_3_anger
43.2467	2.0	n/a	running_avg	6.0	7.0	n/a	n/a	CT_3_anger
45.2467	2.0	n/a	running_avg	6.0	6.949	n/a	n/a	CT_3_anger
47.2467	2.0	n/a	running_avg	6.0	6.0	n/a	n/a	CT_3_anger
49.2467	2.0	n/a	running_avg	6.0	6.0	n/a	n/a	CT_3_anger
51.2467	2.0	n/a	running_avg	6.0	6.0	n/a	n/a	CT_3_anger
