onset	duration	trial_type	event_type	participant_value	gold_std	block_score	n_button_press	stim_file
13.1727	144.0	EA_block	block_summary	n/a	n/a	0.752463155728	12.0	CT_3_anger
13.1727	0.0	n/a	default_rating	5	n/a	n/a	n/a	CT_3_anger
13.1727	2.0	n/a	running_avg	5.20595	5.0	n/a	n/a	CT_3_anger
14.7608	0.0	n/a	button_press	6	n/a	n/a	n/a	CT_3_anger
15.1727	2.0	n/a	running_avg	6.545649999999999	5.0	n/a	n/a	CT_3_anger
16.0814	0.0	n/a	button_press	7	n/a	n/a	n/a	CT_3_anger
17.1727	2.0	n/a	running_avg	7.0	5.0	n/a	n/a	CT_3_anger
19.1727	2.0	n/a	running_avg	7.0	5.0	n/a	n/a	CT_3_anger
21.1727	2.0	n/a	running_avg	6.42995	5.0	n/a	n/a	CT_3_anger
22.0326	0.0	n/a	button_press	6	n/a	n/a	n/a	CT_3_anger
23.1727	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	CT_3_anger
25.1727	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	CT_3_anger
27.1727	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	CT_3_anger
29.1727	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	CT_3_anger
31.1727	2.0	n/a	running_avg	6.0	7.0	n/a	n/a	CT_3_anger
33.1727	2.0	n/a	running_avg	5.899299999999999	7.0	n/a	n/a	CT_3_anger
34.9713	0.0	n/a	button_press	5	n/a	n/a	n/a	CT_3_anger
35.1727	2.0	n/a	running_avg	5.0	7.0	n/a	n/a	CT_3_anger
37.1727	2.0	n/a	running_avg	5.0	7.0	n/a	n/a	CT_3_anger
39.1727	2.0	n/a	running_avg	5.0	7.0	n/a	n/a	CT_3_anger
41.1727	2.0	n/a	running_avg	5.0	7.0	n/a	n/a	CT_3_anger
43.1727	2.0	n/a	running_avg	5.269550000000001	7.0	n/a	n/a	CT_3_anger
44.6336	0.0	n/a	button_press	6	n/a	n/a	n/a	CT_3_anger
45.1727	2.0	n/a	running_avg	6.0	6.949	n/a	n/a	CT_3_anger
47.1727	2.0	n/a	running_avg	6.0	6.0	n/a	n/a	CT_3_anger
49.1727	2.0	n/a	running_avg	6.0	6.0	n/a	n/a	CT_3_anger
51.1727	2.0	n/a	running_avg	6.0	6.0	n/a	n/a	CT_3_anger
53.1727	2.0	n/a	running_avg	6.0	6.0	n/a	n/a	CT_3_anger
55.1727	2.0	n/a	running_avg	6.0	6.0	n/a	n/a	CT_3_anger
57.1727	2.0	n/a	running_avg	5.5508999999999995	6.0	n/a	n/a	CT_3_anger
58.2745	0.0	n/a	button_press	5	n/a	n/a	n/a	CT_3_anger
59.1727	2.0	n/a	running_avg	5.0	6.0	n/a	n/a	CT_3_anger
61.1727	2.0	n/a	running_avg	5.0	6.0	n/a	n/a	CT_3_anger
63.1727	2.0	n/a	running_avg	5.0	6.0	n/a	n/a	CT_3_anger
65.1727	2.0	n/a	running_avg	5.0	6.0	n/a	n/a	CT_3_anger
67.1727	2.0	n/a	running_avg	5.0	6.0	n/a	n/a	CT_3_anger
69.1727	2.0	n/a	running_avg	5.0	6.0	n/a	n/a	CT_3_anger
71.1727	2.0	n/a	running_avg	5.0	6.0	n/a	n/a	CT_3_anger
73.1727	2.0	n/a	running_avg	5.0	6.0	n/a	n/a	CT_3_anger
75.1727	2.0	n/a	running_avg	4.19345	6.5875	n/a	n/a	CT_3_anger
75.5596	0.0	n/a	button_press	4	n/a	n/a	n/a	CT_3_anger
